date,open,high,low,close,volume,vwap
09/09/2013 09:53:02,1663,1663,1661.5,1661.75,21454,1662.20114
09/09/2013 10:01:42,1661.75,1662.5,1660.75,1662.25,21434,1661.842435
09/09/2013 10:08:25,1662.25,1663,1661.25,1662.5,21455,1662.107038
09/09/2013 10:15:31,1662.5,1663.25,1662.25,1662.75,21428,1662.627998
09/09/2013 10:24:26,1662.75,1662.75,1661,1661.5,21433,1661.742232
09/09/2013 10:30:58,1661.5,1662.5,1661,1662.25,21464,1661.91346
09/09/2013 10:35:53,1662.25,1663,1661.75,1662,21438,1662.221324
09/09/2013 10:41:05,1662,1664,1662,1664,21431,1663.152361
09/09/2013 10:48:56,1664,1664.5,1663.5,1664.25,21414,1664.012515
09/09/2013 10:57:34,1664.25,1664.75,1663.5,1663.75,21409,1664.13123
09/09/2013 11:05:19,1663.75,1664.75,1663.5,1664.75,21426,1664.275775
09/09/2013 11:12:54,1664.75,1666,1664.25,1665.75,21408,1664.921933
09/09/2013 11:15:41,1665.75,1667,1665.5,1667,21387,1666.360908
09/09/2013 11:29:40,1667,1667,1665.75,1666.5,21341,1666.358336
09/09/2013 11:37:10,1666.5,1666.75,1665,1665.5,21427,1665.747608
09/09/2013 11:48:14,1665.5,1666,1665.25,1665.75,21405,1665.562883
09/09/2013 12:06:40,1665.75,1666.75,1665.25,1666.25,21400,1665.808178
09/09/2013 12:23:28,1666.25,1666.5,1665.25,1666.25,21375,1665.801076
09/09/2013 12:36:19,1666.25,1667,1665.5,1666.5,21335,1666.194446
09/09/2013 12:47:53,1666.5,1667.75,1665.75,1667,21443,1666.765716
09/09/2013 12:59:30,1667,1668.5,1666.75,1668.5,21375,1667.454737
09/09/2013 13:04:08,1668.5,1669.5,1668.25,1669.5,21360,1668.821512
09/09/2013 13:15:54,1669.5,1669.75,1668.75,1669.5,21357,1669.19304
09/09/2013 13:19:23,1669.5,1671,1669.25,1670.5,21320,1670.354667
09/09/2013 13:21:43,1670.75,1671.75,1670.75,1671.25,21341,1671.251394
09/09/2013 13:26:14,1671.25,1671.5,1670.5,1670.75,21329,1671.002356
09/09/2013 13:34:51,1670.75,1671,1670.25,1670.5,21334,1670.49782
09/09/2013 13:44:19,1670.5,1670.5,1669.5,1670.25,21337,1669.993052
09/09/2013 13:56:20,1670.25,1670.5,1669.75,1670.25,21343,1670.147812
09/09/2013 14:08:44,1670.25,1670.5,1669,1670,21266,1669.876681
09/09/2013 14:17:33,1670,1671,1669.75,1670.75,21410,1670.283828
09/09/2013 14:23:30,1670.75,1671.5,1669.25,1669.5,21338,1670.42736
09/09/2013 14:34:52,1669.5,1670.75,1669,1670,21342,1669.876183
09/09/2013 14:42:37,1670,1670.25,1669,1669.25,21338,1669.581884
09/09/2013 14:51:14,1669.25,1670.25,1668.75,1669.75,21354,1669.517479
09/09/2013 14:56:24,1669.75,1670.5,1669.5,1670,21340,1670.050223
09/09/2013 14:59:35,1670.25,1670.75,1670,1670.5,21338,1670.306191
09/09/2013 15:00:00,1670.25,1670.75,1670,1670.5,21331,1670.336166
09/09/2013 15:00:50,1670.25,1671,1670.25,1670.75,21295,1670.592557
09/09/2013 15:04:11,1670.75,1671.25,1670.75,1671,21347,1671.035649
09/09/2013 15:10:46,1671,1671.25,1669.5,1669.75,21183,1670.483466
09/09/2013 15:14:29,1669.75,1669.75,1668.25,1668.75,21492,1669.1307
09/09/2013 17:27:12,1668.75,1672.25,1668.5,1672,21364,1670.129482
09/09/2013 22:30:00,1672,1672.25,1669,1669.75,21342,1670.633118
09/10/2013 02:00:08,1669.75,1673,1669.5,1672.75,21277,1671.548057
09/10/2013 02:45:00,1672.75,1674.75,1671.5,1674.75,21341,1673.019317
09/10/2013 03:04:05,1674.75,1677.25,1674.5,1676.5,21265,1676.27463
09/10/2013 04:19:35,1676.5,1677.75,1676,1676.25,21226,1676.915952
09/10/2013 05:44:48,1676.25,1678.25,1675.75,1678,21277,1677.114878
09/10/2013 06:17:15,1678,1678.75,1677,1678.5,21240,1677.978931
09/10/2013 06:36:23,1678.5,1680.5,1678,1680.25,21225,1679.075135
09/10/2013 06:52:46,1680.25,1681.25,1679.5,1680.25,21208,1680.427351
09/10/2013 07:25:20,1680.25,1680.75,1679.25,1679.75,21213,1680.056699
09/10/2013 07:53:17,1679.75,1680.75,1679,1679,21210,1679.795014
09/10/2013 08:11:31,1679,1680,1678.5,1679.25,21229,1679.251766
09/10/2013 08:30:00,1679.25,1680.75,1679,1680.5,21212,1679.657258
09/10/2013 08:32:00,1680.5,1680.75,1679.25,1679.5,21210,1680.011881
09/10/2013 08:35:10,1679.5,1680,1678.75,1679,21230,1679.349435
09/10/2013 08:37:18,1679,1679.25,1676.75,1677,21237,1678.15101
09/10/2013 08:40:36,1677,1678.25,1677,1677.25,21245,1677.587868
09/10/2013 08:44:06,1677.25,1678.75,1677,1677.75,21236,1678.019589
09/10/2013 08:48:44,1677.75,1679.25,1677.25,1679,21238,1678.299746
09/10/2013 08:52:44,1679,1680.25,1678.5,1680.25,21221,1679.477275
09/10/2013 08:55:18,1680.25,1681,1679.25,1681,21208,1680.099184
09/10/2013 08:59:06,1681,1681.25,1680,1680,21209,1680.58705
09/10/2013 09:03:37,1680,1680.5,1679,1680.25,21217,1679.78423
09/10/2013 09:06:39,1680.25,1681.5,1679.5,1681.25,21210,1680.358286
09/10/2013 09:09:51,1681.25,1681.75,1680,1680.5,21202,1680.697646
09/10/2013 09:14:07,1680.5,1681,1679.75,1680.75,21209,1680.417417
09/10/2013 09:16:43,1680.75,1682,1679.25,1679.5,21179,1680.775155
09/10/2013 09:21:10,1679.5,1680.5,1679,1680.25,21242,1679.74142
09/10/2013 09:26:56,1680.25,1681.25,1680,1681,21206,1680.568872
09/10/2013 09:32:13,1681,1682.25,1680.75,1682.25,21189,1681.570638
09/10/2013 09:38:45,1682.25,1682.25,1680.75,1681.5,21196,1681.421117
09/10/2013 09:44:27,1681.5,1682.5,1681.25,1682,21196,1681.866638
09/10/2013 09:48:32,1682,1682.75,1681.25,1682,21183,1682.028384
09/10/2013 09:54:05,1682,1682.5,1681.75,1682.5,21193,1682.051715
09/10/2013 09:59:43,1682.5,1683,1681.75,1682,21105,1682.362296
09/10/2013 10:03:43,1682,1682.25,1681.25,1682,21270,1681.818653
09/10/2013 10:07:55,1682,1682.25,1681,1681.5,21192,1681.567761
09/10/2013 10:16:57,1681.5,1682,1680.75,1681.5,21195,1681.509306
09/10/2013 10:24:41,1681.5,1681.5,1680.75,1681.25,21195,1681.198809
09/10/2013 10:29:51,1681.25,1681.75,1681,1681,21180,1681.370798
09/10/2013 10:34:04,1681,1681.25,1680,1680,21059,1680.633067
09/10/2013 10:40:01,1680,1680.5,1679.5,1679.5,21378,1679.928946
09/10/2013 10:44:23,1679.5,1679.75,1678.25,1678.25,21226,1679.092822
09/10/2013 10:47:49,1678.25,1678.25,1676.75,1677.5,21245,1677.686926
09/10/2013 10:54:08,1677.5,1678.75,1677.5,1678.75,21239,1678.0337
09/10/2013 10:59:24,1678.75,1679,1678,1678.5,21197,1678.619156
09/10/2013 11:07:29,1678.5,1679.75,1678.25,1679.5,21247,1678.97016
09/10/2013 11:15:35,1679.5,1680,1679.25,1679.75,21229,1679.591997
09/10/2013 11:27:00,1679.75,1680,1679,1679.5,21211,1679.505999
09/10/2013 11:37:38,1679.5,1680.25,1678.75,1680,21222,1679.484474
09/10/2013 11:52:13,1680,1680.25,1678.5,1679.75,21231,1679.42644
09/10/2013 12:03:27,1679.75,1681.25,1679.5,1680.25,21207,1680.415841
09/10/2013 12:10:25,1680.25,1680.75,1679.75,1680.25,21179,1680.26086
09/10/2013 12:19:18,1680.25,1680.75,1679,1680.5,21249,1679.773601
09/10/2013 12:22:30,1680.75,1681.75,1680.25,1681.5,21203,1680.900132
09/10/2013 12:27:11,1681.5,1682,1681,1681.25,21194,1681.470664
09/10/2013 12:32:26,1681.25,1682,1680.75,1681.25,21196,1681.342801
09/10/2013 12:39:23,1681.25,1681.5,1680.25,1680.75,21184,1680.951131
09/10/2013 12:46:52,1680.75,1681.5,1680.75,1681.5,21193,1681.182619
09/10/2013 12:57:54,1681.5,1681.75,1680.5,1681.25,21215,1681.149764
09/10/2013 13:07:41,1681.25,1681.75,1680.75,1681,21207,1681.202469
09/10/2013 13:12:10,1681,1682,1680.25,1681.25,21194,1680.977965
09/10/2013 13:20:50,1681.25,1681.75,1680.25,1680.75,21206,1681.052874
09/10/2013 13:32:45,1680.75,1681.5,1679.75,1679.75,21206,1680.716743
09/10/2013 13:40:41,1680,1680.25,1679.25,1680.25,21217,1679.767839
09/10/2013 13:51:01,1680.25,1681,1680,1680.5,21182,1680.41586
09/10/2013 13:59:28,1680.5,1681.75,1680,1681.75,21211,1680.755811
09/10/2013 14:04:57,1681.75,1682,1681.25,1681.5,21185,1681.498017
09/10/2013 14:12:06,1681.5,1682.5,1681,1681.5,21219,1681.659786
09/10/2013 14:19:17,1681.5,1681.75,1680.5,1681.75,21201,1681.206382
09/10/2013 14:26:46,1681.75,1682.5,1681.25,1682.25,21159,1681.885793
09/10/2013 14:33:55,1682,1682.75,1681.75,1682.25,21211,1682.175051
09/10/2013 14:40:08,1682.25,1682.75,1681.5,1682,21192,1682.168436
09/10/2013 14:46:25,1682,1682.25,1680.25,1681.25,21195,1681.400401
09/10/2013 14:52:15,1681.5,1682.5,1681.25,1681.5,21192,1681.776944
09/10/2013 14:57:55,1681.5,1682,1681,1681.75,21188,1681.414456
09/10/2013 14:59:45,1681.75,1683,1681.5,1683,21191,1682.394436
09/10/2013 15:00:00,1683,1683.25,1682.75,1683,21168,1683.106458
09/10/2013 15:00:22,1683.25,1683.25,1682,1682.5,21099,1682.577824
09/10/2013 15:02:56,1682.5,1683,1682.25,1682.5,21266,1682.632336
09/10/2013 15:06:49,1682.5,1683,1682.25,1682.5,21181,1682.602745
09/10/2013 15:14:59,1682.5,1682.75,1681.75,1682.75,21178,1682.132732
09/10/2013 19:57:01,1682.75,1683,1680.25,1681,21173,1681.916462
09/10/2013 21:14:26,1681,1684,1679.75,1681,21218,1681.797083
09/11/2013 02:08:23,1681,1682.75,1679.75,1680.75,21202,1680.816774
09/11/2013 03:16:48,1680.75,1682.5,1679.75,1682.25,21201,1680.909426
09/11/2013 04:55:48,1682.25,1683.5,1680.5,1681.25,21189,1682.189202
09/11/2013 06:27:33,1681.25,1683,1680.5,1682.5,21189,1681.999929
09/11/2013 07:11:50,1682.5,1682.75,1679.75,1680.75,21200,1681.042936
09/11/2013 08:05:21,1680.75,1681.75,1680.25,1681,21176,1680.91063
09/11/2013 08:30:00,1681,1681.25,1679.25,1680.75,21237,1680.242125
09/11/2013 08:30:58,1680.75,1681.75,1680.5,1681.75,21195,1681.210675
09/11/2013 08:33:45,1681.75,1682,1680.25,1680.5,21197,1681.522633
09/11/2013 08:36:28,1680.5,1682,1679.75,1682,21201,1681.073664
09/11/2013 08:38:52,1682,1682.75,1680.75,1681.5,21187,1681.824314
09/11/2013 08:42:05,1681.5,1682.75,1681.5,1682.25,21185,1682.176623
09/11/2013 08:47:36,1682.25,1682.75,1681.25,1682,21194,1681.845829
09/11/2013 08:53:01,1682,1682.25,1680.5,1680.75,21196,1681.358617
09/11/2013 08:57:04,1680.75,1681.25,1679,1679,21206,1680.140503
09/11/2013 09:01:39,1679,1680.25,1678.5,1680.25,21201,1679.34575
09/11/2013 09:05:05,1680.25,1681,1680,1680.5,21226,1680.406871
09/11/2013 09:09:07,1680.5,1681.5,1680.25,1680.25,21212,1680.832524
